"","GeneName"
"986","Grb14"
"987","Gng8"
"988","Nmral1"
"989","Evi2a"
"990","Sbds"
"991","Aspa"
"992","Fth1"
"993","Ly6g6d"
"994","Gng11"
"995","Tspan17"
"996","Gpr62"
"997","Phlda3"
"998","Arhgef10"
"999","Hiat1"
"1000","Carhsp1"
"1001","Aplp1"
"1002","Serpinb1a"
"1003","Tmem63a"
"1004","Fez1"
"1005","Elovl1"
"1006","Desi1"
"1007","Qk"
"1008","Csrp1"
"1009","Rcbtb1"
"1010","Map6d1"
"1011","Ap2a1"
"1012","Ccp110"
"1013","Slc48a1"
"1014","Msmo1"
"1015","Dbndd2"
"1016","Slpi"
"1017","Kctd13"
"1018","Tubb4a"
"1019","Cers2"
"1020","Tmeff2"
"1021","Josd2"
"1022","Dpy19l1"
"1023","Efhd1"
"1024","Rftn1"
"1025","Car2"
"1026","Golga7"
"1027","Cd82"
"1028","Gltp"
"1029","Grhpr"
"1030","Sypl"
"1031","1810058I24Rik"
"1032","Ptp4a1"
"1033","Etv1"
"1034","Ldlrap1"
"1035","Cdc42ep2"
"1036","Gm13293"
"1037","Pcdh9"
"1038","Card19"
"1039","Unc5b"
"1040","Tmbim1"
"1041","Rhog"
"1042","Gpr37"
"1043","Cdc42ep1"
"1044","Kcna1"
"1045","Slain1"
"1046","Taldo1"
"1047","Trim59"
"1048","Enpp2"
"1049","Lpar1"
"1050","Tmem151a"
"1051","Stmn4"
"1052","Cryab"
"1053","Qdpr"
"1054","Ttyh2"
"1055","Acyp1"
"1056","Mlh3"
"1057","Mrpl51"
"1058","U2af1"
"1059","Rnaseh2c"
"1060","Rnf166"
"1061","Map3k11"
"1062","Lpcat3"
"1063","Cfap36"
"1064","Ctu2"
"1065","Dnmt1"
"1066","Eif3g"
"1067","Hmgb1"
"1068","Zswim7"
"1069","Zfp955b"
"1070","Bcap31"
"1071","Nab1"
"1072","Bcl10"
"1073","Ubqln1"
"1074","1190005I06Rik"
"1075","Capn9"
"1076","Srpk3"
"1077","Col24a1"
"1078","Ctr9"
"1079","Chchd7"
"1080","Gm29325"
"1081","4732463B04Rik"
"1082","Entpd5"
"1083","Amd1"
"1084","Rngtt"
"1085","Zfp955a"
"1086","Aamdc"
"1087","Coq6"
"1088","Npc1"
"1089","Bivm"
"1090","Dot1l"
"1091","Timm23"
"1092","Ubn2"
"1093","Hipk2"
"1094","Nfrkb"
"1095","Mpdu1"
"1096","Ddx3y"
"1097","Dennd2a"
"1098","Zbtb7b"
"1099","Gm15417"
"1100","Dnph1"
"1101","Dnajc4"
"1102","Zeb2"
"1103","Tpd52"
"1104","Plin3"
"1105","Golga1"
"1106","S100a16"
"1107","Phax"
"1108","S100a13"
"1109","Snapin"
"1110","Gnl3"
"1111","Kctd11"
"1112","Commd1"
"1113","Matn2"
"1114","Pcyt2"
"1115","Zbtb43"
"1116","Naa40"
"1117","Spg20"
"1118","Ypel5"
"1119","Mpp5"
"1120","Mvb12b"
"1121","Gm2447"
"1122","Slc25a10"
"1123","Anapc11"
"1124","Hist1h4d"
"1125","Rab33b"
"1126","Mrpl15"
"1127","Igf2bp3"
"1128","Siah2"
"1129","Rrs1"
"1130","Timm10b"
"1131","Cript"
"1132","Pla2g16"
"1133","Dixdc1"
"1134","Terf1"
"1135","Pea15a"
"1136","Tram1"
"1137","Slco5a1"
"1138","Pop1"
"1139","Peli2"
"1140","Sgk3"
"1141","Epb41l3"
"1142","Dusp23"
"1143","Fam134b"
"1144","Casp2"
"1145","Fam131b"
"1146","D730045B01Rik"
"1147","Pigyl"
"1148","Hcn2"
"1149","1810037I17Rik"
"1150","Txndc17"
"1151","Rwdd3"
"1152","Rnpc3"
"1153","Stxbp3"
"1154","Taf13"
"1155","Sqle"
"1156","Ldlr"
"1157","Gm16894"
"1158","Wscd1"
"1159","Lsm8"
"1160","Kcnd2"
"1161","1810032O08Rik"
"1162","Slc4a7"
"1163","Gltscr2"
"1164","Elp6"
"1165","Wbp2"
"1166","Klhl4"
"1167","Prr3"
"1168","Degs1"
"1169","Ppp1r12b"
"1170","Cisd2"
"1171","Itfg2"
"1172","Gpr45"
"1173","Pmp22"
"1174","Aif1l"
"1175","Ccdc157"
"1176","Taf9b"
"1177","Nvl"
"1178","Rrp9"
"1179","Tcerg1"
"1180","Chchd1"
"1181","Rbm8a"
"1182","Ccng1"
"1183","Med30"
"1184","Vdac2"
"1185","Hist2h3c1"
"1186","Apba3"
"1187","Eif3h"
"1188","Anp32e"
"1189","Uqcrfs1"
"1190","Dapk3"
"1191","Eef2"
"1192","Vps72"
"1193","Psmb4"
"1194","Snrpd2"
"1195","Plekhg1"
"1196","Rexo2"
"1197","mt-Co1"
"1198","Fam45a"
"1199","6430571L13Rik"
"1200","Slc39a2"
"1201","Nudcd2"
"1202","Ybx3"
"1203","Megf10"
"1204","Rgl3"
"1205","Nudt13"
"1206","Zfp281"
"1207","Elavl3"
"1208","Nprl2"
"1209","Cdc34"
"1210","Hsd17b10"
"1211","Sirt6"
"1212","Ccdc88a"
"1213","Pgap1"
"1214","Scaf1"
"1215","Gm44421"
"1216","Rhob"
"1217","Ddx56"
"1218","Cort"
"1219","Me1"
"1220","1810044D09Rik"
"1221","Sys1"
"1222","Rpl7a"
"1223","Dock5"
"1224","Vamp3"
"1225","Surf2"
"1226","Acot7"
"1227","Gnai1"
"1228","Fkbp1a"
"1229","Epb41l4aos"
"1230","Apc"
"1231","Sh3bp5l"
"1232","Rpsa"
